epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,568.838,0.44626,0.71748,1.03397,0.50118,0.16256,0.18805,0.10564,1.93897,3.77614,2.6843,0.000240082,0.000240082,0.000240082
183,571.682,0.53921,0.96075,1.12612,0.48468,0.14983,0.20054,0.1101,1.92023,3.61305,2.71101,0.00023716,0.00023716,0.00023716
184,574.524,0.65922,0.68192,1.3997,0.48599,0.14983,0.20001,0.11691,1.87922,3.68606,2.68485,0.000234237,0.000234237,0.000234237
185,578.27,0.6465,1.00744,1.23593,0.3569,0.2237,0.21125,0.12963,1.86755,3.69743,2.68871,0.000231315,0.000231315,0.000231315
186,582.292,0.57806,0.8292,1.01106,0.38396,0.24725,0.20499,0.13163,1.82773,3.78235,2.71802,0.000228393,0.000228393,0.000228393
187,585.216,0.54811,0.74646,1.12327,0.38574,0.24725,0.23899,0.14446,1.77677,3.7809,2.70862,0.000225471,0.000225471,0.000225471
188,587.813,0.43925,0.66745,1.02531,0.36708,0.24725,0.2687,0.17665,1.77026,3.70545,2.69284,0.000222549,0.000222549,0.000222549
189,590.292,0.49647,0.68141,1.0234,0.37163,0.24725,0.2683,0.17925,1.7674,3.64665,2.67045,0.000219626,0.000219626,0.000219626
190,593.22,0.50863,0.76407,1.08407,0.40708,0.24725,0.26149,0.17497,1.79425,3.59165,2.64665,0.000216704,0.000216704,0.000216704
191,596.969,0.43123,0.6032,1.05997,0.36129,0.24725,0.26904,0.17976,1.84936,3.56856,2.64633,0.000213782,0.000213782,0.000213782
192,601.145,0.43471,0.88782,1.10137,0.34753,0.24725,0.2253,0.14,1.84156,3.61099,2.6329,0.00021086,0.00021086,0.00021086
193,604.088,0.51654,0.71197,1.02381,0.3614,0.25824,0.21755,0.13666,1.8257,3.6211,2.61267,0.000207938,0.000207938,0.000207938
194,606.825,0.51812,0.83112,1.06583,0.33281,0.23288,0.22056,0.14197,1.76528,3.59288,2.53375,0.000205015,0.000205015,0.000205015
195,609.327,0.42556,0.76947,1.00079,0.34464,0.24096,0.24155,0.15287,1.73364,3.50115,2.5219,0.000202093,0.000202093,0.000202093
196,612.324,0.42264,1.99354,0.89002,0.33917,0.22586,0.23526,0.1528,1.72244,3.40441,2.54585,0.000199171,0.000199171,0.000199171
197,615.955,0.7066,1.04846,1.21417,0.34065,0.21254,0.25416,0.15526,1.70256,3.36592,2.52589,0.000196249,0.000196249,0.000196249
198,620.122,0.48861,0.87598,1.02547,0.33581,0.24807,0.29063,0.15508,1.71807,3.35398,2.51065,0.000193327,0.000193327,0.000193327
199,622.916,0.62573,1.00473,1.18103,0.47099,0.24409,0.36826,0.16521,1.69878,3.36183,2.49184,0.000190404,0.000190404,0.000190404
200,625.439,0.45642,0.77517,1.04071,0.46592,0.24679,0.38007,0.1675,1.69024,3.38768,2.48095,0.000187482,0.000187482,0.000187482
201,628.054,0.49684,0.59498,1.06189,0.46396,0.2468,0.37973,0.16796,1.70943,3.40751,2.49845,0.00018456,0.00018456,0.00018456
202,630.912,0.45135,0.91061,1.0564,0.45923,0.23388,0.38547,0.17194,1.72416,3.47525,2.50079,0.000181638,0.000181638,0.000181638
203,634.878,0.47282,0.60768,1.06752,0.47168,0.23274,0.38385,0.17234,1.72322,3.53452,2.48626,0.000178716,0.000178716,0.000178716
204,638.807,0.54162,1.07558,1.11558,0.34664,0.24758,0.29657,0.1734,1.7531,3.52713,2.51923,0.000175793,0.000175793,0.000175793
205,641.59,0.51811,0.65976,1.04319,0.35027,0.25058,0.26272,0.16269,1.76139,3.54181,2.52869,0.000172871,0.000172871,0.000172871
206,644.182,0.42059,0.8122,1.05725,0.35403,0.24657,0.2504,0.16332,1.76829,3.52611,2.55224,0.000169949,0.000169949,0.000169949
207,646.76,0.34675,1.21424,0.88795,0.34854,0.23872,0.28023,0.17679,1.74631,3.4934,2.54096,0.000167027,0.000167027,0.000167027
208,649.838,0.50479,0.57908,1.0648,0.3537,0.24994,0.27099,0.17048,1.75472,3.47592,2.54296,0.000164105,0.000164105,0.000164105
209,653.582,0.40236,0.581,0.96077,0.35128,0.23121,0.23519,0.15502,1.77312,3.49558,2.55297,0.000161182,0.000161182,0.000161182
210,657.332,0.47632,0.74579,1.06653,0.34967,0.24317,0.2272,0.1483,1.75326,3.53538,2.55198,0.00015826,0.00015826,0.00015826
211,659.957,0.67283,0.78401,1.30412,0.51369,0.15201,0.24059,0.15832,1.75438,3.62793,2.57803,0.000155338,0.000155338,0.000155338
212,662.523,0.36332,0.52252,0.95147,0.51088,0.15201,0.24134,0.15867,1.73712,3.73172,2.54864,0.000152416,0.000152416,0.000152416
213,665.139,0.59394,0.92236,1.1726,0.51166,0.15201,0.24507,0.16072,1.71725,3.68136,2.54636,0.000149494,0.000149494,0.000149494
214,668.159,0.38596,0.91129,0.99695,0.5139,0.15201,0.24726,0.16242,1.70821,3.698,2.56383,0.000146571,0.000146571,0.000146571
